_Nb Properties (Expression),Amenities,Bathrooms,Bedrooms,City,Country,Date,Latitude,Longitude,Main Date: Month,Main Date: Month (Display),Main Date: Year,Profile,Property,Property Id,Property Type,Zip Code,_Max Theoretical Revenue (Expression),_Total Expenses (Expression),_Total Revenue (Expression),Expenses % ,Expenses %   MTD   (Current Month),Expenses %   MTD   (Previous Month),Gross Rental Yield,Gross Rental Yield  MTD   (Current Month),Gross Rental Yield  MTD   (Previous Month),Gross Rental Yield  MTD  (Previous Year),Gross Rental Yield  YTD  (Current Year),Indicator,Living Space,Max Theoretical Revenue,Monthly Expenses,Monthly Rent,Monthly Revenue,Nb Properties,Net Rental Yield,Net Rental Yield  MTD   (Current Month),Net Rental Yield  MTD   (Previous Month),Net Rental Yield  MTD  (Previous Year),Net Rental Yield  YTD  (Current Year),Net Rental Yield  YTD  (Previous Year),Net Rental Yield Perf. -  Value,Net Rental Yield Perf. - Reference,Net Rental Yield Perf. - Value vs Reference,Net Rental Yield Perf. - Value vs Reference %,Net Rental Yield Perf. - Value vs Reference (pt),Net Rental Yield Perf. - Value vs Reference (shape),Net Revenue,Net Revenue  MTD   (Current Month),Net Revenue  MTD   (Previous Month),Net Revenue  MTD  (Previous Year),Net Revenue  YTD  (Current Year),Net Revenue  YTD  (Previous Year),Net Revenue Perf. -  Value,Net Revenue Perf. - Reference,Net Revenue Perf. - Value vs Reference,Net Revenue Perf. - Value vs Reference %,Net Revenue Perf. - Value vs Reference (shape),Occupancy Rate,Placeholder (num),Property Class Yield ,Property Cost,Total Expenses,Total Expenses  MTD   (Current Month),Total Expenses  MTD   (Previous Month),Total Expenses  MTD  (Previous Year),Total Expenses  YTD  (Current Year),Total Expenses  YTD  (Previous Year),Total Expenses Perf. -  Value,Total Expenses Perf. - Reference,Total Expenses Perf. - Value vs Reference,Total Expenses Perf. - Value vs Reference %,Total Expenses Perf. - Value vs Reference (shape),Total Revenue,Total Revenue  MTD   (Current Month),Total Revenue  MTD   (Previous Month),Total Revenue  MTD  (Previous Year),Total Revenue  YTD  (Current Year),Total Revenue  YTD  (Previous Year),Total Revenue Perf. -  Value,Total Revenue Perf. - Reference,Total Revenue Perf. - Value vs Reference
"Suite 437,  Trace Lynn Haven",Luxurious,1 bathroom,3 bedrooms,Daly City,US,9/1/2023,37.6767072,-122.4512931,9,Sep,2023,Apt-Lux-3 Bed.,"Suite 437,  Trace Lynn Haven",2,Apartment,94014,7007,4133.73,7007,59.00%,59.00%,,8.20%,8.20%,,,8.20%,2873.27,1076,"$7,007 ",4133.73,7007,7007,1,3.40%,3.40%,,,3.40%,,3.40%,,3.40%,,,▲,"$2,873 ","$2,873 ",$0 ,$0 ,"$2,873 ",$0 ,"$2,873 ",$0 ,"$2,873 ",,▲,100%,0,LOW YIELD,1026630,"$4,134 ","$4,134 ",,,"$4,134 ",,"$4,134 ",,"$4,134 ",,▲,"$7,007 ","$7,007 ",,,"$7,007 ",,"$7,007 ",,"$7,007 "
"Suite 437,  Trace Lynn Haven",Luxurious,1 bathroom,3 bedrooms,Daly City,US,8/1/2023,37.6767072,-122.4512931,8,Aug,2023,Apt-Lux-3 Bed.,"Suite 437,  Trace Lynn Haven",2,Apartment,94014,7007,4133.73,7007,59.00%,,59.00%,8.20%,,8.20%,,8.20%,2873.27,1076,"$7,007 ",4133.73,7007,7007,1,3.40%,,3.40%,,3.40%,,3.40%,,3.40%,,,▲,"$2,873 ",$0 ,"$2,873 ",$0 ,"$2,873 ",$0 ,"$2,873 ",$0 ,"$2,873 ",,▲,100%,0,LOW YIELD,1026630,"$4,134 ",,"$4,134 ",,"$4,134 ",,"$4,134 ",,"$4,134 ",,▲,"$7,007 ",,"$7,007 ",,"$7,007 ",,"$7,007 ",,"$7,007 "
"Suite 437,  Trace Lynn Haven",Luxurious,1 bathroom,3 bedrooms,Daly City,US,7/1/2023,37.6767072,-122.4512931,7,Jul,2023,Apt-Lux-3 Bed.,"Suite 437,  Trace Lynn Haven",2,Apartment,94014,7007,4133.73,7007,59.00%,,,8.20%,,,,8.20%,2873.27,1076,"$7,007 ",4133.73,7007,7007,1,3.40%,,,,3.40%,,3.40%,,3.40%,,,▲,"$2,873 ",$0 ,$0 ,$0 ,"$2,873 ",$0 ,"$2,873 ",$0 ,"$2,873 ",,▲,100%,0,LOW YIELD,1026630,"$4,134 ",,,,"$4,134 ",,"$4,134 ",,"$4,134 ",,▲,"$7,007 ",,,,"$7,007 ",,"$7,007 ",,"$7,007 "
"Suite 437,  Trace Lynn Haven",Luxurious,1 bathroom,3 bedrooms,Daly City,US,6/1/2023,37.6767072,-122.4512931,6,Jun,2023,Apt-Lux-3 Bed.,"Suite 437,  Trace Lynn Haven",2,Apartment,94014,7007,4133.73,7007,59.00%,,,8.20%,,,,8.20%,2873.27,1076,"$7,007 ",4133.73,7007,7007,1,3.40%,,,,3.40%,,3.40%,,3.40%,,,▲,"$2,873 ",$0 ,$0 ,$0 ,"$2,873 ",$0 ,"$2,873 ",$0 ,"$2,873 ",,▲,100%,0,LOW YIELD,1026630,"$4,134 ",,,,"$4,134 ",,"$4,134 ",,"$4,134 ",,▲,"$7,007 ",,,,"$7,007 ",,"$7,007 ",,"$7,007 "
"Suite 437,  Trace Lynn Haven",Luxurious,1 bathroom,3 bedrooms,Daly City,US,5/1/2023,37.6767072,-122.4512931,5,May,2023,Apt-Lux-3 Bed.,"Suite 437,  Trace Lynn Haven",2,Apartment,94014,7007,4133.73,7007,59.00%,,,8.20%,,,,8.20%,2873.27,1076,"$7,007 ",4133.73,7007,7007,1,3.40%,,,,3.40%,,3.40%,,3.40%,,,▲,"$2,873 ",$0 ,$0 ,$0 ,"$2,873 ",$0 ,"$2,873 ",$0 ,"$2,873 ",,▲,100%,0,LOW YIELD,1026630,"$4,134 ",,,,"$4,134 ",,"$4,134 ",,"$4,134 ",,▲,"$7,007 ",,,,"$7,007 ",,"$7,007 ",,"$7,007 "
"Suite 437,  Trace Lynn Haven",Luxurious,1 bathroom,3 bedrooms,Daly City,US,4/1/2023,37.6767072,-122.4512931,4,Apr,2023,Apt-Lux-3 Bed.,"Suite 437,  Trace Lynn Haven",2,Apartment,94014,7007,4133.73,7007,59.00%,,,8.20%,,,,8.20%,2873.27,1076,"$7,007 ",4133.73,7007,7007,1,3.40%,,,,3.40%,,3.40%,,3.40%,,,▲,"$2,873 ",$0 ,$0 ,$0 ,"$2,873 ",$0 ,"$2,873 ",$0 ,"$2,873 ",,▲,100%,0,LOW YIELD,1026630,"$4,134 ",,,,"$4,134 ",,"$4,134 ",,"$4,134 ",,▲,"$7,007 ",,,,"$7,007 ",,"$7,007 ",,"$7,007 "
"Apt. 961,  Spring Susan Islands",High-End,1 bathroom,2 bedrooms,San Francisco,US,9/1/2023,37.72335117,-122.4740813,9,Sep,2023,Furnished Apt-High-End-2 Bed.,"Apt. 961,  Spring Susan Islands",3,Furnished Apartment,94132,4032,937.63,4032,23.30%,23.30%,,9.70%,9.70%,,,9.70%,3094.37,742,"$4,032 ",937.63,4032,4032,1,7.40%,7.40%,,,7.40%,,7.40%,,7.40%,,,▲,"$3,094 ","$3,094 ",$0 ,$0 ,"$3,094 ",$0 ,"$3,094 ",$0 ,"$3,094 ",,▲,100%,0,HIGH YIELD,499791,$938 ,$938 ,,,$938 ,,$938 ,,$938 ,,▲,"$4,032 ","$4,032 ",,,"$4,032 ",,"$4,032 ",,"$4,032 "
"Apt. 961,  Spring Susan Islands",High-End,1 bathroom,2 bedrooms,San Francisco,US,8/1/2023,37.72335117,-122.4740813,8,Aug,2023,Furnished Apt-High-End-2 Bed.,"Apt. 961,  Spring Susan Islands",3,Furnished Apartment,94132,4032,937.63,4032,23.30%,,23.30%,9.70%,,9.70%,,9.70%,3094.37,742,"$4,032 ",937.63,4032,4032,1,7.40%,,7.40%,,7.40%,,7.40%,,7.40%,,,▲,"$3,094 ",$0 ,"$3,094 ",$0 ,"$3,094 ",$0 ,"$3,094 ",$0 ,"$3,094 ",,▲,100%,0,HIGH YIELD,499791,$938 ,,$938 ,,$938 ,,$938 ,,$938 ,,▲,"$4,032 ",,"$4,032 ",,"$4,032 ",,"$4,032 ",,"$4,032 "
"Apt. 961,  Spring Susan Islands",High-End,1 bathroom,2 bedrooms,San Francisco,US,7/1/2023,37.72335117,-122.4740813,7,Jul,2023,Furnished Apt-High-End-2 Bed.,"Apt. 961,  Spring Susan Islands",3,Furnished Apartment,94132,4032,937.63,4032,23.30%,,,9.70%,,,,9.70%,3094.37,742,"$4,032 ",937.63,4032,4032,1,7.40%,,,,7.40%,,7.40%,,7.40%,,,▲,"$3,094 ",$0 ,$0 ,$0 ,"$3,094 ",$0 ,"$3,094 ",$0 ,"$3,094 ",,▲,100%,0,HIGH YIELD,499791,$938 ,,,,$938 ,,$938 ,,$938 ,,▲,"$4,032 ",,,,"$4,032 ",,"$4,032 ",,"$4,032 "
"Apt. 961,  Spring Susan Islands",High-End,1 bathroom,2 bedrooms,San Francisco,US,6/1/2023,37.72335117,-122.4740813,6,Jun,2023,Furnished Apt-High-End-2 Bed.,"Apt. 961,  Spring Susan Islands",3,Furnished Apartment,94132,4032,937.63,4032,23.30%,,,9.70%,,,,9.70%,3094.37,742,"$4,032 ",937.63,4032,4032,1,7.40%,,,,7.40%,,7.40%,,7.40%,,,▲,"$3,094 ",$0 ,$0 ,$0 ,"$3,094 ",$0 ,"$3,094 ",$0 ,"$3,094 ",,▲,100%,0,HIGH YIELD,499791,$938 ,,,,$938 ,,$938 ,,$938 ,,▲,"$4,032 ",,,,"$4,032 ",,"$4,032 ",,"$4,032 "
